iter	RMSEWithUncertainty
0	0.3218225838
1	0.3143961546
2	0.298357472
3	0.2959090663
4	0.2815906026
5	0.2786177338
6	0.278092102
7	0.2698619137
8	0.2589592691
9	0.2542341848
10	0.2399225553
11	0.2393972613
12	0.2300583609
13	0.2204314837
14	0.2192119977
15	0.2077268602
16	0.1975682623
17	0.1950531244
18	0.1915978395
19	0.1907426834
20	0.1814274078
21	0.1727964399
22	0.1624061051
23	0.16138346
24	0.1518511244
25	0.141513858
26	0.1388435132
27	0.1276958159
28	0.1264519184
29	0.1185074319
30	0.1071906123
31	0.1028001734
32	0.09365684329
33	0.08126763784
34	0.06871287718
35	0.06042941158
36	0.05110204465
37	0.04496855435
38	0.04028807832
39	0.03826762607
40	0.02803271594
41	0.01738041592
42	0.01177021716
43	0.009811438538
44	0.006172651855
45	-0.003354975023
46	-0.01006062404
47	-0.01561168254
48	-0.02060763798
49	-0.02562477867
50	-0.02910651949
51	-0.03649522541
52	-0.03937189702
53	-0.04943779293
54	-0.05631256323
55	-0.05996371668
56	-0.06278563168
57	-0.06876638222
58	-0.07648112626
59	-0.07825807934
60	-0.08605309503
61	-0.09151253937
62	-0.09483062706
63	-0.1020611162
64	-0.1037604203
65	-0.1107330231
66	-0.1127958301
67	-0.1249518169
68	-0.1329127108
69	-0.1365726751
70	-0.1385845853
71	-0.1405273418
72	-0.1468864344
73	-0.1484460464
74	-0.1511275738
75	-0.1551189437
76	-0.1565102816
77	-0.1601268476
78	-0.1681261907
79	-0.1712569017
80	-0.1733146411
81	-0.181322718
82	-0.1853768535
83	-0.1966434144
84	-0.2061500917
85	-0.2076527234
86	-0.2090823101
87	-0.2119977654
88	-0.2175802323
89	-0.2188877771
90	-0.2237519443
91	-0.2319425357
92	-0.2367412178
93	-0.2418399512
94	-0.2442815693
95	-0.2507639048
96	-0.255849061
97	-0.2585660443
98	-0.2669378045
99	-0.2693630193
100	-0.2798680227
101	-0.2861050764
102	-0.2948488353
103	-0.2997210109
104	-0.3026911034
105	-0.3106152878
106	-0.3146289845
107	-0.3230394246
108	-0.3308685582
109	-0.3331012349
110	-0.336692828
111	-0.3492983252
112	-0.3561767496
113	-0.360886543
114	-0.3679950803
115	-0.3717759121
116	-0.3741774125
117	-0.376425323
118	-0.384292495
119	-0.3918126181
120	-0.3985352266
121	-0.4027096882
122	-0.4119155225
123	-0.4151558735
124	-0.4190148102
125	-0.4279300805
126	-0.4354350836
127	-0.4400019443
128	-0.4434009219
129	-0.4513183763
130	-0.4533728137
131	-0.4553277978
132	-0.4574463196
133	-0.4663100256
134	-0.4687806519
135	-0.4747203393
136	-0.4764759263
137	-0.4826514567
138	-0.4920281771
139	-0.4949002368
140	-0.4963769687
141	-0.5009081981
142	-0.506761301
143	-0.5097541553
144	-0.514509313
145	-0.5169862089
146	-0.5182477957
147	-0.5211416315
148	-0.5318676933
149	-0.5359052771
150	-0.5419372392
151	-0.550828871
152	-0.5560065964
153	-0.557345068
154	-0.55956329
155	-0.5645687494
156	-0.5677118077
157	-0.5708762739
158	-0.5792958166
159	-0.5818028692
160	-0.5885105525
161	-0.5897315585
162	-0.5909994304
163	-0.5920840123
164	-0.5930982971
165	-0.6005187797
166	-0.6056205716
167	-0.6089645238
168	-0.6126355635
169	-0.6173832243
170	-0.6229083638
171	-0.6257173659
172	-0.6284873199
173	-0.6296448653
174	-0.6312201778
175	-0.6327101941
176	-0.6355103688
177	-0.6414685553
178	-0.648759128
179	-0.6546973172
180	-0.6589588917
181	-0.6680177245
182	-0.6724201166
183	-0.6753931067
184	-0.681346415
185	-0.68234457
186	-0.6832838891
187	-0.6909821059
188	-0.696138342
189	-0.699480404
190	-0.7025374919
191	-0.7080108503
192	-0.7101052037
193	-0.713830379
194	-0.718775135
195	-0.7239044946
196	-0.730846857
197	-0.7342266304
198	-0.7393213695
199	-0.7430468722
200	-0.7458412754
201	-0.7470405278
202	-0.7543809701
203	-0.7577999058
204	-0.7656338627
205	-0.7725284053
206	-0.778570645
207	-0.7796207085
208	-0.7841006985
209	-0.7851483354
210	-0.7898071848
211	-0.791502562
212	-0.7925717708
213	-0.7945431686
214	-0.7953547737
215	-0.7998875396
216	-0.8028601128
217	-0.806090083
218	-0.810122585
219	-0.8148230096
220	-0.8155883453
221	-0.817541917
222	-0.8204463307
223	-0.8239644635
224	-0.8264618979
225	-0.8296595529
226	-0.8325962202
227	-0.8382464317
228	-0.8389288664
229	-0.8458199643
230	-0.8510236856
231	-0.854129196
232	-0.8572883147
233	-0.8599397551
234	-0.8619011656
235	-0.8688479022
236	-0.8708337681
237	-0.875782019
238	-0.878393185
239	-0.885560723
240	-0.8904110586
241	-0.8956712414
242	-0.8976465215
243	-0.8985540364
244	-0.8992494976
245	-0.8999020317
246	-0.9007781926
247	-0.9046619018
248	-0.9097695805
249	-0.9132290128
250	-0.9193165064
251	-0.919960379
252	-0.9231124955
253	-0.9237123931
254	-0.9264477103
255	-0.9304659698
256	-0.9357854065
257	-0.936975669
258	-0.9442403831
259	-0.947137893
260	-0.9481507099
261	-0.948760201
262	-0.953291151
263	-0.9567661951
264	-0.9605170241
265	-0.9625434359
266	-0.9651337508
267	-0.9677423921
268	-0.9710681187
269	-0.9769766265
270	-0.9795407859
271	-0.9826825746
272	-0.9847557909
273	-0.9871216377
274	-0.987647794
275	-0.9904400778
276	-0.9912280168
277	-0.9949050173
278	-0.9969577595
279	-1.002622711
280	-1.004513109
281	-1.0096827
282	-1.011001971
283	-1.014032616
284	-1.014510807
285	-1.014958338
286	-1.015962302
287	-1.017785216
288	-1.018800873
289	-1.022110272
290	-1.023420378
291	-1.027326458
292	-1.030284683
293	-1.033149802
294	-1.033998709
295	-1.039109579
296	-1.041911834
297	-1.044308355
298	-1.044823704
299	-1.047995209
300	-1.051360422
301	-1.052235437
302	-1.054719949
303	-1.055069841
304	-1.058028374
305	-1.058359514
306	-1.060608745
307	-1.063287854
308	-1.063964482
309	-1.065228974
310	-1.067863807
311	-1.070276454
312	-1.073772957
313	-1.074082358
314	-1.075503011
315	-1.076382161
316	-1.080015073
317	-1.080700619
318	-1.081552048
319	-1.083464282
320	-1.084374113
321	-1.08703953
322	-1.088731913
323	-1.090238953
324	-1.092083759
325	-1.092522788
326	-1.092793934
327	-1.09401679
328	-1.094193626
329	-1.097657267
330	-1.10113905
331	-1.10195652
332	-1.102249588
333	-1.10242861
334	-1.103217541
335	-1.106545517
336	-1.108458556
337	-1.111612557
338	-1.112186436
339	-1.11452641
340	-1.116825729
341	-1.117144116
342	-1.119213861
343	-1.120019721
344	-1.12025096
345	-1.12043975
346	-1.12530852
347	-1.129518146
348	-1.130275341
349	-1.1306773
350	-1.136336932
351	-1.136979346
352	-1.139953591
353	-1.143301604
354	-1.144498803
355	-1.144692141
356	-1.148149993
357	-1.150856953
358	-1.153632434
359	-1.153864615
360	-1.156303565
361	-1.158005816
362	-1.158527332
363	-1.161937044
364	-1.162050218
365	-1.162264226
366	-1.16243156
367	-1.162587374
368	-1.164639055
369	-1.168796209
370	-1.172344007
371	-1.174288212
372	-1.174722022
373	-1.175246323
374	-1.177265648
375	-1.179604189
376	-1.182691274
377	-1.184095795
378	-1.18822753
379	-1.191269091
380	-1.191664778
381	-1.194134019
382	-1.194327544
383	-1.196141841
384	-1.196811207
385	-1.198109365
386	-1.19876191
387	-1.19958154
388	-1.201298823
389	-1.201736597
390	-1.20286797
391	-1.203022223
392	-1.204765365
393	-1.20538652
394	-1.206750253
395	-1.208809781
396	-1.210848799
397	-1.212935267
398	-1.213077809
399	-1.213365852
400	-1.213565403
401	-1.213950245
402	-1.214841904
403	-1.216331455
404	-1.218922679
405	-1.218994268
406	-1.21913531
407	-1.220307265
408	-1.221062845
409	-1.221340243
410	-1.221761055
411	-1.223497691
412	-1.22566788
413	-1.226011669
414	-1.228284973
415	-1.228370017
416	-1.229823846
417	-1.233070461
418	-1.233746386
419	-1.235333677
420	-1.235821859
421	-1.238386708
422	-1.240712675
423	-1.242504791
424	-1.250264
425	-1.250829169
426	-1.250925775
427	-1.251843892
428	-1.252022289
429	-1.257230334
430	-1.258274699
431	-1.259148447
432	-1.260905355
433	-1.263616755
434	-1.266897848
435	-1.267982328
436	-1.268067789
437	-1.268341239
438	-1.268535917
439	-1.269051612
440	-1.270413603
441	-1.272035986
442	-1.273765408
443	-1.273925074
444	-1.27508927
445	-1.275301902
446	-1.275395742
447	-1.277327997
448	-1.27748368
449	-1.278891732
450	-1.280629136
451	-1.280716422
452	-1.280817508
453	-1.28230473
454	-1.284429947
455	-1.284791522
456	-1.285054405
457	-1.286596885
458	-1.287510199
459	-1.287582641
460	-1.288804292
461	-1.288887506
462	-1.288991065
463	-1.289834443
464	-1.290016738
465	-1.291204349
466	-1.291285674
467	-1.293166646
468	-1.293850791
469	-1.293913259
470	-1.296167172
471	-1.296331968
472	-1.297571773
473	-1.298108534
474	-1.299102223
475	-1.300757429
476	-1.302349766
477	-1.303977449
478	-1.306339851
479	-1.308076691
480	-1.308121004
481	-1.308243462
482	-1.308495596
483	-1.309741428
484	-1.310129999
485	-1.310260031
486	-1.312725789
487	-1.312833017
488	-1.316643942
489	-1.320432402
490	-1.320475998
491	-1.321509488
