iter	Passed	Remaining
0	11	14185
1	11	7572
2	15	6637
3	67	21493
4	126	31989
5	127	26818
6	127	23061
7	129	20428
8	135	18961
9	136	17176
10	153	17570
11	153	16130
12	163	15820
13	192	17293
14	193	16198
15	215	16904
16	223	16481
17	225	15675
18	228	15002
19	228	14290
20	256	15266
21	264	14968
22	277	15034
23	277	14415
24	294	14678
25	350	16745
26	350	16134
27	370	16402
28	370	15840
29	371	15343
30	390	15611
31	391	15138
32	421	15775
33	429	15605
34	441	15576
35	449	15409
36	466	15543
37	467	15148
38	482	15230
39	483	14850
40	491	14719
41	507	14831
42	525	14984
43	526	14645
44	527	14337
45	532	14167
46	533	13874
47	537	13679
48	539	13433
49	540	13177
50	541	12935
51	544	12735
52	544	12493
53	561	12627
54	571	12605
55	572	12390
56	573	12186
57	574	11995
58	582	11954
59	583	11753
60	591	11718
61	595	11585
62	598	11451
63	618	11652
64	619	11471
65	624	11374
66	624	11203
67	639	11297
68	658	11460
69	659	11297
70	660	11138
71	660	10982
72	690	11309
73	690	11156
74	691	11013
75	692	10867
76	692	10725
77	693	10593
78	743	11204
79	749	11139
80	750	11005
81	757	10965
82	785	11225
83	790	11157
84	808	11261
85	809	11128
86	809	10999
87	815	10941
88	840	11146
89	841	11019
90	850	11008
91	863	11048
92	889	11249
93	890	11127
94	890	11009
95	898	10979
96	902	10906
97	903	10797
98	953	11273
99	956	11175
100	993	11493
101	994	11381
102	1003	11364
103	1010	11315
104	1028	11402
105	1044	11464
106	1045	11353
107	1071	11517
108	1095	11660
109	1096	11555
110	1099	11472
111	1118	11549
112	1126	11526
113	1127	11422
114	1142	11464
115	1163	11562
116	1164	11462
117	1164	11361
118	1186	11467
119	1215	11640
120	1216	11540
121	1217	11446
122	1225	11413
123	1226	11328
124	1255	11489
125	1263	11458
126	1268	11403
127	1273	11353
128	1287	11375
129	1292	11326
130	1293	11236
131	1294	11150
132	1298	11094
133	1303	11038
134	1304	10956
135	1310	10918
136	1311	10833
137	1316	10792
138	1319	10729
139	1321	10654
140	1321	10574
141	1327	10536
142	1332	10488
143	1335	10429
144	1355	10508
145	1356	10436
146	1357	10360
147	1359	10298
148	1378	10364
149	1381	10307
150	1382	10234
151	1390	10220
152	1401	10220
153	1401	10147
154	1402	10077
155	1415	10096
156	1416	10032
157	1423	10008
158	1448	10110
159	1449	10044
160	1453	10005
161	1454	9939
162	1455	9873
163	1455	9807
164	1455	9741
165	1460	9703
166	1474	9728
167	1477	9682
168	1489	9696
169	1495	9668
170	1543	9912
171	1545	9856
172	1547	9805
173	1548	9743
174	1549	9684
175	1550	9629
176	1551	9574
177	1613	9890
178	1621	9874
179	1632	9878
180	1634	9822
181	1646	9830
